,MMSI,type,zone,entryTime,entryLatitude,entryLongitude,entryDraft,leaveTime,leaveLatitude,leaveLongitude,leaveDraft,distance,actTimeInZone,avg_speed,Temperature [2 m elevation corrected] (°C),Relative Humidity [2 m] (%),Mean Sea Level Pressure [MSL] (hPa),Precipitation Total (mm),Snowfall Amount (cm),Cloud Cover Total (%),Cloud Cover High [high cld lay] (%),Cloud Cover Medium [mid cld lay] (%),Cloud Cover Low [low cld lay] (%),Wind Speed [10 m] (km/h),Wind Direction [10 m] (°),Wind Speed [80 m] (km/h),Wind Direction [80 m] (°),Wind Speed [900 mb] (km/h),Wind Direction [900 mb] (°),Wind Speed [850 mb] (km/h),Wind Direction [850 mb] (°),Geopotential Height [1000 mb] (Gpm),Geopotential Height [850 mb] (Gpm),Temperature [1000 mb] (°C),Temperature [850 mb] (°C)
10,220199000,Cargo ship,Japan,1573740238,41.638633,142.920843,12.8,1573740904,41.63623,143.00218999999998,12.8,6.765466703782666,666,36.57009029071711,3.2163444444444442,85.25527777777778,1014.6475833333334,0.1682777777777778,0.11779444444444447,100.0,0.0,0.0,100.0,39.824450625,281.74273025555556,59.37007637805556,281.6399818,67.25199131666668,278.83288617222223,72.17830941111112,273.0444533194444,116.31722222222223,1386.4758333333334,0.16317222222222222,-12.193791666666666
11,220199000,Cargo ship,Japan,1578090343,41.626187,142.925378,13.0,1578091381,41.632907,143.05561200000002,13.0,10.849934041887614,1038,37.62982904700907,-2.617277777777778,80.57277777777779,1013.7145555555555,0.0,0.0,100.0,0.0,0.0,100.0,26.467313484444446,304.2986701111111,38.87211942222223,304.01638433333335,43.742326238888886,290.5075596388889,52.993919678888886,274.06332472777774,106.57277777777779,1354.1455555555556,-5.027183333333333,-16.289905555555556
12,220416000,Cargo ship,Japan,1582785911,41.585361999999996,142.927147,12.3,1582787116,41.585043,143.057072,12.3,10.805973694961708,1205,32.28340688951216,-2.570615885200553,78.89739776394651,1020.2137130590132,0.0,0.0,0.0,0.0,0.0,0.0,1.6904505467971533,165.55104754576027,2.926138546389546,174.57790964725794,34.047580367248614,312.40691398445364,38.174920061357874,318.6565218034324,157.12562113877362,1413.0345283540803,-5.2298854552789305,-13.060385696173352
13,220594000,Cargo ship,Japan,1544609299,41.61678,142.979388,14.4,1544609749,41.61488,143.017147,14.4,3.1460435316303936,450,25.16834825304315,5.357322222222223,93.20111111111112,1009.2804444444445,0.4798888888888889,0.0,100.0,0.0,100.0,100.0,45.91954397111111,26.884899719999996,70.04172268333332,26.485523816666667,73.99438572222223,37.89205181555557,48.45912860888889,53.19262765222223,74.40222222222222,1359.0,2.7331333333333334,-7.7280999999999995
14,220594000,Cargo ship,Japan,1585083603,41.592713,142.958452,12.1,1585084503,41.590987,143.066643,12.1,8.999410289855417,900,35.99764115942167,2.590066666666667,66.6225,1015.7629166666667,0.0,0.0,10.0,0.0,0.0,10.0,31.30502787,316.58926521666666,47.85244755416665,316.9343004166667,61.790709470833335,319.38350011666665,65.01349385416667,324.35071576666667,125.3775,1399.6291666666666,0.4750333333333333,-10.227283333333332
15,229218000,Cargo ship,Japan,1545831854,41.618157000000004,142.989957,7.6,1545832794,41.616932,143.06468,7.6,6.2131222648777875,940,23.79493633357451,1.4362777777777778,78.73555555555555,1010.4264444444444,0.28677777777777774,0.20074445312222222,100.0,0.0,0.0,100.0,31.928351105555556,267.67498575555555,47.64724907,267.45962283333336,50.16398961111111,260.01459115555554,61.20823597222221,245.8202777444444,82.26444444444445,1350.528888888889,-0.6838888888888889,-12.1905
16,232017152,Cargo ship,Japan,1537648671,41.618637,142.961525,6.8,1537649161,41.617553,142.98928999999998,6.8,2.3111951316007815,490,16.98020913012819,16.27011111111111,92.30111111111111,1013.7494444444444,0.1,0.0,100.0,0.0,0.0,100.0,23.842176666666667,30.445119362222222,35.69518573111111,30.91099521555556,24.798997844444443,268.29898563333336,26.399917164444446,297.81452036666667,115.49444444444444,1487.7955555555552,14.624088888888888,10.793122222222223
17,235007790,Cargo ship,Japan,1555597423,41.615733,142.94306699999999,8.9,1555597980,41.615383,142.990533,8.9,3.946102362767799,557,25.50443178808631,8.708905555555555,94.0,1008.9218888888888,0.0,0.0,100.0,52.73611111111111,100.0,4.726388888888889,11.75132697361111,126.65219126777778,22.12566388222222,150.53554644305555,24.522252084166666,178.69183303055556,32.263372698333335,199.03428665,73.69152777777778,1430.5820833333332,9.847312500000001,7.803234722222221
18,235007790,Cargo ship,Japan,1555597980,41.615383,142.990533,8.9,1555598860,41.616566999999996,143.065583,8.9,6.240352796193063,880,25.528715984426167,8.716888888888889,94.0,1008.7622222222222,0.0,0.0,100.0,32.77777777777777,100.0,6.722222222222221,12.123364277777778,126.91603564444445,22.561710355555554,149.68055738888887,25.735998566666666,179.75001188888888,33.81646553333333,199.961942,72.29444444444445,1429.9833333333333,9.7575,7.889055555555555
19,235007790,Cargo ship,Japan,1564927104,41.605683,142.948367,8.9,1564927206,41.60665,142.9574,8.9,0.7586925634728303,102,26.777384593158718,19.169243137254906,96.0,1014.199980392157,0.0,0.0,100.0,0.001568627450980392,0.0,100.0,11.135136255245097,73.3808692985294,18.08715340995098,94.63087225833331,11.004605304833332,198.85200342303924,9.899653813823528,226.52412447156865,119.99985294117647,1522.0124019607845,19.319996568627452,17.631139215686275
20,235007790,Cargo ship,Japan,1564927206,41.60665,142.9574,8.9,1564928431,41.637333,143.056117,8.9,8.886680397014485,1225,26.115958717756854,19.156255555555557,96.0,1014.1312777777779,0.0,0.0,100.0,5.497777777777777,0.0,100.0,11.298196273750001,72.86583626249998,18.109477634305556,93.78809341527779,11.493009631805556,198.9241230486111,10.291956335833333,225.17317963611112,119.48458333333335,1521.4845833333334,19.30797361111111,17.664361111111113
21,235106302,Tanker,Japan,1543300142,41.5242,143.032398,7.8,1543300269,41.523112,143.044093,7.8,0.9810923383680784,127,27.81049148129986,12.925656944444444,78.0,1017.5498472222223,0.0,0.0,0.0,0.0,0.0,0.0,29.981369972777777,214.7217524972222,45.69017863111111,213.77964631527777,68.02556255555557,242.61464231388885,70.339287775,247.91873736944447,144.49847222222223,1477.0,11.195779166666666,1.7799083333333332
22,235115082,Tanker,Japan,1544770199,41.593333,143.075,11.3,1544771474,41.63151,142.987392,11.3,8.430156499780006,1275,23.802794822908254,2.050953362745098,71.18659368191722,1019.1149665250546,0.0,0.0,10.197941612200434,0.0,0.0,10.197941612200434,35.95539378640566,319.40091944314486,53.57375122505838,319.4966498791438,50.62787611232059,320.96141743690964,44.519761043720806,319.6235308198693,151.09004095860564,1416.9910701525055,-1.0131446601307188,-12.585098290849672
23,235335000,Cargo ship,Japan,1580904486,41.632912,143.007775,10.5,1580904904,41.632385,142.974233,10.5,2.7882670653775525,418,24.013783338179877,-3.0438611111111107,87.35138888888889,1012.2,0.5351388888888889,0.37459722222222225,100.0,0.0,13.51388888888889,100.0,13.729476159722221,47.522957490277776,19.940967056944444,46.391360694444444,15.90427654027778,61.17652978055556,4.4100184958333335,331.03717448611116,95.0,1345.0,-4.727375,-15.782277777777777
24,235335000,Cargo ship,Japan,1586960294,41.627303000000005,142.93010800000002,UNK,1586961086,41.629492,143.01830800000002,UNK,7.334760797272914,792,33.339821805785974,2.4948055555555557,83.58611111111111,1015.6827777777778,0.0,0.0,100.0,0.0,0.0,100.0,14.740904036111111,32.33405579444444,20.98211549166667,32.16831808333333,13.916507122222221,16.31179085833333,12.384168311111111,301.97863100000006,124.82777777777778,1406.4138888888886,0.8072222222222223,-8.115527777777778
25,246797000,Cargo ship,Japan,1585151483,41.623467,143.076072,9.0,1585152864,41.623345,142.977977,9.0,8.153783822381808,1381,21.255337987381974,6.195468450800548,79.81739761847291,1015.3978687142971,0.0,0.0,8.980423807225039,0.0,0.0,8.980423807225039,29.300564918768004,283.58034274325166,44.745416949774814,283.4336243528281,58.54924177186269,295.8057337110166,67.36169555139693,302.03319274655746,123.97868714297208,1427.0,4.537933860326656,-3.1197313460455387
26,246797000,Cargo ship,Japan,1585152864,41.623345,142.977977,9.0,1585153654,41.623484999999995,142.920558,9.0,4.7727601508019015,790,21.749286763147904,6.217977777777778,79.65027777777777,1015.3650277777776,0.0,0.0,6.502777777777777,0.0,0.0,6.502777777777777,29.070263584999996,283.01975666666664,44.314248045,282.94773105555555,58.703193501388895,295.00918733888886,67.14658981277778,300.796738,123.65027777777777,1427.0,4.5719666666666665,-3.0320777777777774
27,248925000,Cargo ship,Japan,1570504206,41.633378,142.955277,9.4,1570504816,41.633278000000004,143.042133,9.4,7.218471176023936,610,42.600813497846175,16.904119444444444,92.74694444444444,1008.0710277777778,2.6759166666666667,0.0,100.0,58.91805555555556,100.0,100.0,23.313784329166666,118.75924763333333,35.42691117861111,119.57911166944443,64.8555841875,161.31523455277778,83.9025757375,187.31673060833333,67.2163888888889,1428.9755555555557,15.912077777777776,8.958555555555556
28,248925000,Cargo ship,Japan,1582651131,41.627342,143.060022,9.2,1582652939,41.633396999999995,142.913288,9.2,12.213957008091791,1808,24.319825901067727,-0.392625,81.56527777777778,1021.0173611111111,0.0,0.0,49.12499999999999,0.0,0.0,49.12499999999999,3.6877297987500004,351.5934466944444,5.3028632786111105,356.06618183333336,9.127830662499997,350.07370493055555,12.375182738888888,313.4585909722222,164.73888888888888,1432.738888888889,-2.2413194444444446,-10.574361111111111
29,248925000,Cargo ship,Japan,1582652130,41.633590000000005,142.979402,9.2,1582652939,41.633396999999995,142.913288,9.2,5.494656216759458,809,24.45088056901613,-0.4300875,81.70402777777778,1020.947986111111,0.0,0.0,36.637499999999996,0.0,0.0,36.637499999999996,3.797407136625,351.85258451944446,5.45235444336111,356.1802842833334,9.546635188749999,353.24187386805556,12.176880683888887,315.5367468472222,164.18388888888887,1432.183888888889,-2.2760069444444446,-10.60488611111111
30,249431000,Cargo ship,Japan,1539569453,41.617723,143.020158,8.0,1539569863,41.617958,143.054473,8.0,2.852669420974923,410,25.047829062218838,14.986683333333334,71.0,1020.1046666666666,0.0,0.0,100.0,4.57,8.378333333333334,100.0,12.29337189,225.86166858333328,17.37932971,226.65681465,22.065972999999996,241.76256,28.179639580000003,230.00248676666666,167.0466666666667,1507.0466666666666,13.143833333333333,3.0019166666666672
31,255805942,Cargo ship,Japan,1542260602,41.606757,142.941242,12.9,1542261042,41.607157,142.99602,12.9,4.554590897289875,440,37.26483461418989,10.5111,70.2161111111111,1021.8783888888888,0.0,0.0,11.296666666666667,0.0,0.0,11.296666666666667,27.126187437777784,297.0872518611111,40.230776868333336,296.91040505555554,44.647934815,306.2579676111111,42.275658594999996,313.71387573333334,177.7838888888889,1488.7838888888891,7.834616666666667,-3.5272888888888887
32,255806034,Cargo ship,Japan,1568379601,41.590759999999996,142.916447,12.5,1568380849,41.594418,143.075435,12.5,13.227838832910017,1248,38.15722740262505,18.34,69.0,1020.1131944444446,0.0,0.0,0.0,0.0,0.0,0.0,14.080054774305555,148.00843784722224,20.424122930555555,149.0460875,16.540289166666668,159.3567813888889,16.572933930555553,139.50045729166666,168.30555555555554,1526.3055555555557,16.458680555555556,7.219027777777778
33,255806034,Cargo ship,Japan,1576904979,41.617166999999995,142.966115,12.7,1576905795,41.6146,143.067527,12.7,8.435299566650873,816,37.21455691169503,2.0665916666666666,73.27416666666667,1024.4629166666666,0.0,0.0,100.0,0.0,3.564166666666667,100.0,20.20917889833333,224.320479125,29.464904515833332,223.87335813333334,38.69699775833333,226.05767634166668,46.808812599999996,251.11277141666665,192.1775,1463.0,-0.7369583333333334,-10.510774999999999
34,255806034,Cargo ship,Japan,1581103855,41.60734,142.941875,11.1,1581105096,41.609242,143.055657,11.1,9.462274881346213,1241,27.44898434556516,-1.198223611111111,84.81125,1013.9438194444444,0.0,0.0,100.0,0.0,38.50333333333333,100.0,14.792877905694448,344.7861374555555,18.067119337777783,-17.521877434763873,33.00924596541667,291.3006390222222,39.73352522666667,281.3095508472222,109.75055555555556,1370.3123611111112,-2.957594444444444,-13.000784722222221
35,256213000,Cargo ship,Japan,1515172995,41.639083,142.99793300000002,12.3,1515173691,41.6351,142.91028300000002,12.3,7.297477378836502,696,37.74557264915432,2.7341166666666665,74.96833333333333,1008.0579166666665,0.0,0.0,100.0,0.0,0.0,100.0,16.6462947725,287.2338919166667,23.974173195,287.03161158333336,26.45450006,268.769257775,30.14007897,251.89171978333331,65.06333333333333,1343.5791666666667,1.488325,-9.653575
