,MMSI,type,zone,entryTime,entryLatitude,entryLongitude,entryDraft,leaveTime,leaveLatitude,leaveLongitude,leaveDraft,distance,actTimeInZone,avg_speed,Temperature [2 m elevation corrected] (°C),Relative Humidity [2 m] (%),Mean Sea Level Pressure [MSL] (hPa),Precipitation Total (mm),Snowfall Amount (cm),Cloud Cover Total (%),Cloud Cover High [high cld lay] (%),Cloud Cover Medium [mid cld lay] (%),Cloud Cover Low [low cld lay] (%),Wind Speed [10 m] (km/h),Wind Direction [10 m] (°),Wind Speed [80 m] (km/h),Wind Direction [80 m] (°),Wind Speed [900 mb] (km/h),Wind Direction [900 mb] (°),Wind Speed [850 mb] (km/h),Wind Direction [850 mb] (°),Geopotential Height [1000 mb] (Gpm),Geopotential Height [850 mb] (Gpm),Temperature [1000 mb] (°C),Temperature [850 mb] (°C),x coord Wind Direction [10 m] (°),y coord Wind Direction [10 m] (°),tan Wind Direction [10 m] (°),x coord Wind Direction [850 mb] (°),y coord Wind Direction [850 mb] (°),tan Wind Direction [850 mb] (°),x coord Wind Direction [900 mb] (°),y coord Wind Direction [900 mb] (°),tan Wind Direction [900 mb] (°),x coord Wind Direction [80 m] (°),y coord Wind Direction [80 m] (°),tan Wind Direction [80 m] (°),subLatitude,subLongitude,cos between move and: Wind Direction [10 m] (°),tan between move and: Wind Direction [10 m] (°),cos between move and: Wind Direction [850 mb] (°),tan between move and: Wind Direction [850 mb] (°),cos between move and: Wind Direction [900 mb] (°),tan between move and: Wind Direction [900 mb] (°),cos between move and: Wind Direction [80 m] (°),tan between move and: Wind Direction [80 m] (°)
0,210593000,Cargo ship,Newfoundland,1538504012,46.221743,-53.293725,11.2,1538505262,46.233283,-53.39655,11.2,8.013146015839208,1250,23.07786052561692,16.716216666666668,77.60083333333333,1017.5798333333333,0.0,0.0,10.0,0.0,0.0,10.0,20.448792675,29.441209250000014,30.826872425,29.921311308333316,34.4400833025,27.22866400000001,40.877840971666664,27.586410883333315,146.79833333333335,1498.0,15.04625833333333,5.184075,0.8708605096207519,0.4915302358788158,0.5644190205534416,0.8863134364624358,0.46308583690947386,0.5224854073721363,0.8891875845098574,0.457542828108501,0.5145627717695925,0.8667112752126912,0.4988101496753957,0.5755205498543763,0.011540000000003658,-0.10282499999999573,-0.8106072959145211,-0.7224091649971537,-0.8291361989671864,-0.6742518981516199,-0.832610623684014,-0.6652074394431946,-0.805672024065096,-0.7352394723866678
1,212773000,Cargo ship,Newfoundland,1522951113,46.22875,-53.295933,10.5,1522955083,46.24335,-53.2729,10.5,2.4028864069283165,3970,2.178939814846836,4.097325425412818,55.64076658270361,1018.8358285124546,0.0,0.0,100.0,99.98490648614609,100.0,100.0,15.269113986494526,33.17732178988348,22.031164231223727,33.54028818133014,27.403107967729742,33.64114243062619,38.70041485544892,29.276950914841194,149.88857402742792,1434.8997815561152,2.276704912538483,-7.492507258256367,0.8369809785975306,0.5472319813990407,0.6538165088482636,0.8722660718225576,0.4890315940174467,0.5606449795710143,0.8325236516515006,0.5539895030060145,0.6654339512241484,0.8334975151566353,0.5525232051486295,0.6628972433646625,0.0146000000000015,0.023032999999998083,0.9999006116879229,0.014099867452976499,0.9985436827566647,0.0540278580319387,0.9997537203952026,0.02219777534563832,0.9997912352973738,0.02043673627953399
2,212773000,Cargo ship,Newfoundland,1522955083,46.24335,-53.2729,10.5,1522956513,46.241683,-53.310782999999994,10.5,2.9192161084639614,1430,7.349075517811372,3.666338888888889,59.66333333333332,1018.4059444444445,0.0,0.0,100.0,100.0,100.0,100.0,14.139121003888889,23.324027050000012,20.114102889444446,23.162511555555568,34.353162018333336,33.4259050111111,46.36844486222222,40.547774644444445,146.61388888888888,1432.7227777777778,1.8623777777777777,-6.787427777777777,0.9182804281368112,0.39593061930201184,0.43116525972937714,0.7598641754034731,0.6500818678738854,0.8555237750598055,0.8345988903312138,0.5508581416825085,0.6600274072541581,0.9193928974196741,0.393340438010455,0.42782627439736176,-0.0016669999999976426,-0.03788299999999367,-0.9347983144251611,-0.3799525303650824,-0.7877080493291597,-0.7820774758532975,-0.8580085026532533,-0.5986368216519132,-0.9357958403025018,-0.37673003758775586
3,212773000,Cargo ship,Newfoundland,1522956513,46.241683,-53.310782999999994,10.5,1522956603,46.242,-53.31571700000001,10.5,0.38107893672262666,90,15.243157468905068,3.5797833333333333,60.93,1018.2581666666666,0.0,0.0,100.0,100.0,100.0,100.0,13.293091748333334,20.51504804999999,18.755666011666666,19.92980933333334,37.287198384999996,35.654178566666644,49.05083277333333,42.61532086666665,145.55833333333334,1432.5116666666668,1.8032666666666666,-6.709316666666666,0.9365801791715471,0.3504533749059819,0.3741840610122411,0.7359160644638832,0.677072777523945,0.9200407630959847,0.8125499454079916,0.5828915732942704,0.717360916197703,0.9401109101450077,0.3408687087814386,0.36258350488546204,0.0003169999999954598,-0.0049340000000128725,-0.9121835010145516,-0.44923194350954104,-0.690990769774641,-1.0461262467894128,-0.7735054843932451,-0.8193731260207929,-0.9163214966867516,-0.4370118992987608
4,212934000,Cargo ship,Newfoundland,1544367084,46.2,-53.38333299999999,9.6,1544368634,46.196018,-53.272202,9.6,8.564716212698723,1550,19.892244106913164,-1.0909580250896058,90.95228387096775,1023.4335493906809,0.3976141935483871,0.2783299357224516,100.0,0.0,0.0,100.0,31.20020932901219,-20.10710267139069,46.225716339445164,-19.735649898917586,51.504523039900356,-12.321852094838732,58.911315627978496,-3.185574777379884,182.14388888888888,1430.2635494623657,-4.776229014336917,-16.453828397849463,0.9390516431045973,-0.34377610676508047,-0.3660886057645592,0.9984547865857987,-0.05557012816169469,-0.05565612875843474,0.9769642555043757,-0.21340300716433447,-0.2184348157693459,0.9412606191787206,-0.33768098374544486,-0.35875396979859,-0.003982000000000596,0.11113099999999321,0.9507595407612542,0.32598095292402063,0.9998043326244889,0.019785086256071293,0.9839793595468469,0.18118511799825043,0.9527488422847974,0.3188239893370224
5,229013000,Cargo ship,Newfoundland,1537421275,46.270295000000004,-53.378457999999995,8.0,1537422564,46.270643,-53.296358,8.0,6.310656289397818,1289,17.624796463795306,18.583354166666666,74.93291666666667,1015.9778472222222,0.0,0.0,3.556944444444444,0.0,0.0,3.556944444444444,19.168891807083334,33.99845347083334,29.455990664444442,33.31852844027779,45.08394242138889,-2.378389527777756,52.34377268972223,-10.41631781944443,134.42277777777778,1497.711388888889,17.364227777777778,7.141544444444444,0.8290526660023881,0.5591705258633834,0.674469245192407,0.9835200191308311,-0.180799258762003,-0.1838287530962321,0.9991385534341519,-0.04149880771191399,-0.041534587539713994,0.8356297734135193,0.549293074583023,0.6573402385355173,0.00034799999999535203,0.08209999999999695,0.8314153717758741,0.668319855501945,0.9827448309212291,0.18821414300586867,0.9989536770680677,0.04578138078871353,0.8379505525977431,0.6512868313456709
6,229013000,Cargo ship,Newfoundland,1545025690,46.195322,-53.337627000000005,8.1,1545026408,46.196793,-53.290455,8.1,3.634432637710621,718,18.222782027518434,5.925350990405447,68.29252476013617,1006.1194962859796,0.0,0.0,0.9751238006809033,0.0,0.0,0.9751238006809033,12.466102322473692,-44.132010659586854,17.589919995819404,-43.40887077718969,24.618076507818017,-15.837581664415097,33.3226879671286,3.387216893554637,49.19497523986382,1346.2924628597957,5.0524262380068095,-5.980997400185702,0.7177373852084005,-0.6963138989523389,-0.970151358007022,0.998253034763681,0.05908365751289473,0.05918705524084057,0.9620391914621668,-0.2729113300887677,-0.2836800543166855,0.7264682844414854,-0.6871999939614705,-0.945946311324238,0.0014710000000022205,0.04717200000000332,0.6956855352031007,1.03257351678651,0.9996095796480079,0.027951712403683566,0.9530655114740635,0.317674018073942,0.7046962601298727,1.0068296836672115
7,229208000,Tanker,Newfoundland,1531530777,46.29665,-53.28471700000001,8.2,1531531087,46.288717,-53.310432999999996,8.2,2.1638018862226653,310,25.128021904521276,15.704466666666667,96.0,1012.3294444444444,0.0,0.0,100.0,0.0,0.0,100.0,5.160644526777778,127.95508544444445,10.099330617777778,134.55064655555555,7.4851482067777795,-81.43095787777781,12.96987118,-57.825921333333326,103.77666666666667,1487.7766666666666,15.086344444444443,14.42741111111111,-0.6150435591753514,0.7884931327011772,-1.2820118525562425,0.5324933930884481,-0.8464341594696846,-1.5895674396265989,0.14900107986250197,-0.9888370331858574,-6.636442058663971,-0.7015394675121183,0.7126306024321533,-1.015809709123519,-0.0079330000000013,-0.025715999999988526,0.35528441248317844,2.6310139632330656,-0.25932256894566674,-3.7242835080890453,0.14910678421068976,6.63163051083074,0.46029953254198863,1.9286651646103743
8,232448000,Tanker,Newfoundland,1515323522,46.203003,-53.347297999999995,8.2,1515323721,46.20301,-53.337763,8.2,0.7338006446589406,199,13.274785531518521,1.8136305555555556,78.22819444444444,1019.7543611111112,0.0,0.0,100.0,0.0,0.0,100.0,27.613365629444445,-19.04014594166665,40.96941152527778,-18.996531138888884,48.56146562347223,-11.909396390277834,52.55216727222222,-12.598184698611135,155.77180555555555,1423.369166666667,-0.8003958333333334,-12.350193055555556,0.9452902247919855,-0.3262305793648374,-0.345111554958294,0.9759236728782242,-0.2181123213298066,-0.22349321713504808,0.9784751548799654,-0.20636465608874943,-0.21090433932792627,0.9455382847547237,-0.325510909284305,-0.3442598935787606,6.999999996537554e-06,0.009534999999992522,0.9450504720554154,0.3459333377732816,0.9757632855207726,0.224264150602475,0.9783233912328972,0.21167125036021442,0.9452990602878776,0.3450812447506841
9,232448000,Tanker,Newfoundland,1515323721,46.20301,-53.337763,8.2,1515329291,46.205667,-53.359018000000006,8.2,1.662183011007001,5570,1.0743014074731065,2.432131418312388,78.82103927289047,1019.739994731199,0.0,0.0,99.58318965689209,0.0,0.0,99.58318965689209,26.55188210205351,-10.508282319361228,38.94815690778062,-10.22941660989028,47.86035229487445,-6.175808730861263,52.41440027170163,-6.742777715545401,156.01258141332536,1427.7598563235588,-0.15290014287851586,-11.593112019998005,0.9832285544638686,-0.18237765676444936,-0.18548856818331075,0.9930832649649513,-0.11741221762045176,-0.11822998308666048,0.9941964745545977,-0.10757959835958247,-0.10820758382570042,0.9841045599953516,-0.17759001941650732,-0.18045848646138388,0.0026569999999992433,-0.021255000000003577,-0.9982574483073438,-0.05911204662040705,-0.9999777081626865,-0.006677212401095982,-0.9998626777947659,-0.016574106099343303,-0.9985328277505006,-0.054229281189633195
10,232448000,Tanker,Newfoundland,1515329011,46.205475,-53.350015,8.2,1515329291,46.205667,-53.359018000000006,8.2,0.6931547782022885,280,8.911990005457996,2.70755,79.0,1019.9820833333333,0.0,0.0,98.47166666666666,0.0,0.0,98.47166666666666,26.702224471666668,-4.101327200000014,38.95812389666666,-3.520457566666664,48.04863151333333,-1.4385998416667007,51.59483916166667,-4.063070900000014,158.05666666666667,1431.0566666666666,0.1017,-11.354716666666667,0.9974391264958415,-0.07152054904160547,-0.07170417436186634,0.9974866583083524,-0.07085454464490165,-0.07103307503387021,0.9996848030983166,-0.02510566578045521,-0.0251135815035353,0.9981129373014515,-0.06140492155738676,-0.061521015571047714,0.00019199999999841566,-0.009003000000006978,-0.9987372988209137,-0.05030103047434344,-0.9987706196976445,-0.04963166505524356,-0.9999928357170027,-0.003785329573090685,-0.999195277348633,-0.04014212407128188
11,232448000,Tanker,Newfoundland,1515329291,46.205667,-53.359018000000006,8.2,1515332711,46.217552000000005,-53.43008199999999,8.2,5.625560863449348,3420,5.921643014157208,2.806019396523717,78.10459052144249,1020.0897928646849,0.0,0.0,98.63776819363223,0.0,0.0,98.63776819363223,27.384713708363382,-1.1107364645402527,40.095803300298854,-0.5438897254373956,48.98928765131941,0.6027380221320868,51.88193900313966,-3.2748578994513196,158.9183429174789,1431.9183429174789,0.18127485623781678,-11.451888026315789,0.9998120972234815,-0.01938479418470776,-0.019388437325913655,0.9983669803055534,-0.0571259366275152,-0.05721937699705536,0.9999446678033563,0.010519568985249065,0.010520151088317805,0.9999549449799114,-0.009492523912129354,-0.00949295161725517,0.011885000000006585,-0.07106399999998558,-0.989313735321498,-0.1473772896055857,-0.9941139148043019,-0.10898132936336448,-0.9845116867275626,-0.17807707628592437,-0.987822870344336,-0.1575006062199417
